000001.XSHE,1d,7918c38c
000001.XSHE,1m,15311c54
000001.XSHE,5m,54f9ac0a
000001.XSHE,15m,3c2cd435
000001.XSHE,30m,0cfbf775
000001.XSHE,60m,d21018b3
000001.XSHG,1d,3a24582f
000001.XSHG,1m,d37d8741
000001.XSHG,5m,7bb329ad
000001.XSHG,15m,7c4e48a5
000001.XSHG,30m,e5db84ef
000001.XSHG,60m,af4be47d
