000001.XSHE,1d,7918c38c
000001.XSHE,1m,15311c54
000001.XSHE,5m,54f9ac0a
000001.XSHE,15m,3c2cd435
000001.XSHE,30m,0cfbf775
000001.XSHE,60m,d21018b3
